comunidades,Dosis entregadas Pfizer (1),Dosis entregadas Moderna (1),Total Dosis entregadas (1),Dosis administradas (2),% sobre entregadas,Nº Personas vacunadas(pauta completada),Fecha de la última vacuna registrada (2),mi columna
Andalucía,324180,6800,330980,257976,0.7794307813160916,50951,2021-01-26,
Aragón,55305,1200,56505,47835,0.8465622511282187,5860,2021-01-26,
Asturias,58235,1200,59435,49077,0.8257255825691933,13727,2021-01-26,
Baleares,29610,600,30210,23603,0.7812975835815955,3114,2021-01-26,
Canarias,64320,1300,65620,54653,0.8328710758914964,6434,2021-01-26,
Cantabria,27645,500,28145,20910,0.7429383549475929,300,2021-01-26,
Castilla y Leon,121395,2500,123895,104197,0.8410105331127165,18756,2021-01-26,
Castilla La Mancha,82935,1700,84635,68522,0.8096177704259467,6982,2021-01-26,
Cataluña,280250,5800,286050,201650,0.7049466876420206,18426,2021-01-26,
C. Valenciana,142930,2900,145830,108454,0.7437015703216073,7304,2021-01-26,
Extremadura,50975,1000,51975,37790,0.7270803270803271,3134,2021-01-26,
Galicia,87865,1800,89665,72676,0.8105280767300508,14235,2021-01-26,
La Rioja,14105,200,14305,9618,0.6723523243621111,684,2021-01-26,
Madrid,228075,4700,232775,174094,0.7479067769305123,5611,2021-01-26,
Murcia,59225,1200,60425,50957,0.8433098882912702,7453,2021-01-26,
Navarra,27645,500,28145,20057,0.7126310179427963,2541,2021-01-26,
País Vasco,74700,1400,76100,50850,0.6681997371879106,6637,2021-01-26,
Ceuta,1980,200,2180,1829,0.8389908256880734,503,2021-01-25,
Melilla,1980,200,2180,1713,0.7857798165137615,414,2021-01-26,
Totales,1733355,35700,1769055,1356461,0.7667715249101922,173066,,
