,comunidades,Dosis entregadas Pfizer (1),Dosis entregadas Moderna (1),Total Dosis entregadas (1),Dosis administradas (2),% sobre entregadas,Nº Personas vacunadas(pauta completada),Fecha de la última vacuna registrada (2)
0,Andalucía,244620,6800,251420,209766,0.8343250338079707,20846,2021-01-21
1,Aragón,41265,1200,42465,41287,0.9722595078299776,2165,2021-01-21
2,Asturias,44195,1200,45395,41465,0.9134265888313691,6851,2021-01-22
3,Baleares,22590,600,23190,20499,0.8839586028460543,2660,2021-01-21
4,Canarias,46185,1300,47485,47068,0.9912182794566705,2865,2021-01-21
5,Cantabria,20625,500,21125,20462,0.9686153846153847,241,2021-01-21
6,Castilla y Leon,93315,2500,95815,86370,0.9014246203621562,6060,2021-01-21
7,Castilla La Mancha,61875,1700,63575,57031,0.8970664569406213,1593,2021-01-21
8,Cataluña,211220,5800,217020,173147,0.7978389088563266,4101,2021-01-21
9,C. Valenciana,109000,2900,111900,103426,0.9242716711349419,4139,2021-01-21
10,Extremadura,39275,1000,40275,32979,0.8188454376163873,638,2021-01-21
11,Galicia,66805,1800,68605,65394,0.953195831207638,7204,2021-01-21
12,La Rioja,11765,200,11965,8967,0.7494358545758463,317,2021-01-21
13,Madrid,171915,4700,176615,154778,0.8763581802225179,2263,2021-01-21
14,Murcia,45185,1200,46385,42261,0.9110919478279617,2086,2021-01-22
15,Navarra,20625,500,21125,16310,0.7720710059171597,807,2021-01-21
16,País Vasco,55980,1400,57380,41474,0.7227953990937609,3044,2021-01-21
17,Ceuta,1980,200,2180,1641,0.7527522935779817,373,2021-01-21
18,Melilla,1980,200,2180,1500,0.6880733944954128,203,2021-01-20
19,Totales,1310400,35700,1346100,1165825,0.8660760716142931,68456,
